þû×?þû00000000	00000000	00 | 1500
00005900000318	-0001182	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000316	-0001184	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000317	-0001183	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000318	-0001182	-0 | 1500
00005900000322	-0001178	-0 | 1100
00005800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000322	-0000778	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
00003800000323	-0000777	-0 | 1100
