38.0000002017	02016.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02016.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000001982	01980.00	00002020	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
18.0000001982	01980.00	00002020	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
18.0000001982	01980.00	00002020	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
18.0000001982	01980.00	00002020	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
18.0000001982	01980.00	00002020	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
18.0000001982	01980.00	00002020	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
18.0000001982	01980.00	00002020	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
18.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
18.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002017	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
15.00	00002040	02038.0000002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
00002017	02015.00	00002040	02038.00, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002040	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
38.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
37.0000002017	02015.00	00002039	020, P:1.000000 I:0.001000 D:0.040000, 2000, 1500
